#,NES Game,Main Category,# of Runners,Game Value,Mod #R,GVC,GVP,LTM,L,*1.8,.4%+,Min,Relevant Link
138,Ice Climber,All Mountains,34,650,77.52,650,650,2.28,,1170,790,100,https://www.speedrun.com/ice_climber
139,Wolverine,any%,38,650,76,650,650,2,,1170,790,100,https://www.speedrun.com/wolverine
140,Uninvited,any%,35,650,75.95,650,650,2.17,,1170,790,100,https://www.speedrun.com/uninvited
141,Toki,any%,35,650,75.25,650,650,2.15,,1170,790,100,https://www.speedrun.com/toki
142,Battle Chess,3D (full game),42,640,75.18,640,640,1.79,,1160,780,100,https://www.speedrun.com/battle_chess
143,Sesame Street Countdown,Run any%,39,640,73.71,640,640,1.89,,1160,780,100,https://www.speedrun.com/sscountdown
144,RollerGames,any%,32,640,73.6,640,640,2.3,,1160,780,100,https://www.speedrun.com/roller_games
145,Attack of the Killer Tomatoes,any%,38,640,73.34,640,640,1.93,,1160,780,100,https://www.speedrun.com/attack_of_the_killer_tomatoes
146,Archon: The Light and the Dark,Power Points Victory,41,640,72.98,640,640,1.78,,1160,780,100,https://www.speedrun.com/archon_the_light_and_the_dark
263,Dragon Warrior II,any% (both),16,640,40,400,400,2.5,Y,720,640,100,https://www.speedrun.com/dw2
263,"Guardian Legend, The",any%,16,640,40,400,400,2.5,Y,720,640,100,https://www.speedrun.com/tgl
147,Pictionary,any%,40,630,72.8,630,630,1.82,,1140,770,100,https://www.speedrun.com/pictionary
148,Vice: Project Doom,any%,32,630,72.64,630,630,2.27,,1140,770,100,https://www.speedrun.com/vice_project_doom
149,Bubble Bobble,any%,29,630,72.5,630,630,2.5,,1140,770,100,https://www.speedrun.com/bubblebobble
149,Teenage Mutant Ninja Turtles III: The Manhattan Project,any%,29,630,72.5,630,630,2.5,,1140,770,100,https://www.speedrun.com/tmnt3
151,Yoshi's Cookie,Round 1,56,620,72.24,620,620,1.29,,1120,770,100,https://www.speedrun.com/yoshis_cookie_nes
152,Caesars Palace,Sportscar,41,620,72.16,620,620,1.76,,1120,770,100,https://www.speedrun.com/caesars_palace
153,Astyanax,any%,31,620,71.92,620,620,2.32,,1120,770,100,https://www.speedrun.com/astyanax
154,Hatris,any% (Shop 0),44,620,71.72,620,620,1.63,,1120,770,100,https://www.speedrun.com/hatris_nes
155,Joe & Mac,any%,35,620,70.7,620,620,2.02,,1120,770,100,https://www.speedrun.com/joemacnes
282,Rampage,any%,15,620,37.5,370,370,2.5,Y,670,620,100,https://www.speedrun.com/rampage_nes
282,Zoda's Revenge: StarTropics II,any%,15,620,37.5,370,370,2.5,Y,670,620,100,https://www.speedrun.com/st2
156,Magic Darts,301,40,610,70,610,610,1.75,,1100,760,100,https://www.speedrun.com/magic_darts
157,Millipede,10 Rounds,55,610,69.85,610,610,1.27,,1100,760,100,https://www.speedrun.com/millipede
158,Spider-Man: Return of the Sinister Six,any%,35,610,69.65,610,610,1.99,,1100,760,100,https://www.speedrun.com/spider-man_return_of_the_sinister_six
159,Nintendo World Championships,"any%, 25 Lines",36,610,69.12,610,610,1.92,,1100,760,100,https://www.speedrun.com/nwc?h=Any-25_Lines&x=q25eo3g2-9l77w24l.xqkje4dl
293,Fire 'n Ice,any%,14,610,35,350,350,2.5,Y,630,610,100,https://www.speedrun.com/fni
160,Double Dribble,100 Points,48,600,68.16,600,600,1.42,,1080,760,100,https://www.speedrun.com/double_dribble
161,Snow Brothers,All Stages + any%,29,600,68.15,600,600,2.35,,1080,760,100,https://www.speedrun.com/snow_brothers
162,Ghostbusters,any%,36,600,67.68,600,600,1.88,,1080,760,100,https://www.speedrun.com/ghostbustersnes
164,Palamedes,Tournament,34,600,67.32,600,600,1.98,,1080,760,100,https://www.speedrun.com/palamedes
165,Rockin' Kats,any%,28,590,67.2,590,590,2.4,,1070,750,100,https://www.speedrun.com/rockin_kats
166,Legacy of the Wizard,any% + No Super Jump,27,590,66.69,590,590,2.47,,1070,750,100,https://www.speedrun.com/legacy_of_the_wizard
167,Tom and Jerry,any%,32,590,66.56,590,590,2.08,,1070,750,100,https://www.speedrun.com/tom_and_jerry_nes
168,Batman: Return of the Joker,any%,29,590,65.83,590,590,2.27,,1070,750,100,https://www.speedrun.com/batman_return_of_the_joker
169,Star Wars,any%,31,590,65.41,590,590,2.11,,1070,750,100,https://www.speedrun.com/star_wars
170,Young Indiana Jones Chronicles,any%,30,580,65.4,580,580,2.18,,1050,740,100,https://www.speedrun.com/youngindianajones
171,Anticipation,Easy,33,580,65.34,580,580,1.98,,1050,740,100,https://www.speedrun.com/anticipation
172,Double Dragon III: The Sacred Stones,any%,29,580,64.96,580,580,2.24,,1050,740,100,https://www.speedrun.com/doubledragon3
173,Trog!,(all) any%,30,580,64.8,580,580,2.16,,1050,740,100,https://www.speedrun.com/trog
174,Cobra Triangle,any%,27,570,64.26,570,570,2.38,,1030,740,100,https://www.speedrun.com/cobra_triangle
175,North & South,Lv.1 Difficulty,36,570,64.08,570,570,1.78,,1030,740,100,https://www.speedrun.com/north_and_south
176,Tecmo Super Bowl,Win A Single Game,41,570,63.55,570,570,1.55,,1030,740,100,https://www.speedrun.com/tecmo_super_bowl
177,Maniac Mansion,any%,32,570,63.04,570,570,1.97,,1030,740,100,https://www.speedrun.com/maniac_mansion_nes
178,"Win, Lose, or Draw",600 Points Victory,33,570,63.03,570,570,1.91,,1030,740,100,https://www.speedrun.com/win_lose_or_draw
179,Street Fighter 2010: The Final Fight,No WW any%,26,560,62.66,560,560,2.41,,1010,730,100,https://www.speedrun.com/street_fighter_2010_the_final_fight
180,Bomberman,All Stages,25,560,62.5,560,560,2.5,,1010,730,100,https://www.speedrun.com/bomberman_nes
182,"Flintstones: The Rescue of Dino & Hoppy, The",any%,27,560,62.37,560,560,2.31,,1010,730,100,https://www.speedrun.com/flintstones_rodh
183,Kick Master,any%,29,560,62.35,560,560,2.15,,1010,730,100,https://www.speedrun.com/kick_master
184,Battletoads & Double Dragon,any% (Dragon or Toad),25,550,61.75,550,550,2.47,,990,730,100,https://www.speedrun.com/btdd
184,Hebereke,any%,25,550,61.75,550,550,2.47,,990,730,100,https://www.speedrun.com/hebereke
186,Ms. Pac-Man,10000 Points,48,550,60.96,550,550,1.27,,990,730,100,https://www.speedrun.com/mspmarcade
187,Monopoly,vs. 1 CPU,34,550,60.18,550,550,1.77,,990,730,100,https://www.speedrun.com/monopolynes
188,"Bugs Bunny Crazy Castle, The",any%,24,540,60,540,540,2.5,,980,720,100,https://www.speedrun.com/bugsbunnycrazycastle
188,Silver Surfer,any%,24,540,60,540,540,2.5,,980,720,100,https://www.speedrun.com/silver_surfer
190,Gun.Smoke,any% sub-weapon,24,540,59.76,540,540,2.49,,980,720,100,https://www.speedrun.com/gun_smoke
191,Gauntlet,any%,26,540,59.54,540,540,2.29,,980,720,100,https://www.speedrun.com/gauntlet_nes
192,Loopz,"Game A, 25 loopz",42,540,58.8,540,540,1.4,,980,720,100,https://www.speedrun.com/loopz
193,Ikari Warriors III: The Rescue,any%,26,530,58.24,530,530,2.24,,960,710,100,https://www.speedrun.com/ikari_iii_the_rescue
194,M.C. Kids,any%,24,530,58.08,530,530,2.42,,960,710,100,https://www.speedrun.com/m.c._kids
195,Total Recall,any%,29,530,58,530,530,2,,960,710,100,https://www.speedrun.com/total_recall
196,Fester's Quest,any%,26,530,57.98,530,530,2.23,,960,710,100,https://www.speedrun.com/festersquest
197,Ivan 'Ironman' Stewart's Super Off Road,"Max Stats, 99 Nitros",34,530,57.8,530,530,1.7,,960,710,100,https://www.speedrun.com/ivan_ironman_stewarts_super_off_road_nes
331,Willow,any%,12,530,30,290,290,2.5,Y,530,570,100,https://www.speedrun.com/willow
198,Golf Grand Slam,Tournament any%,34,520,57.46,520,520,1.69,,940,710,100,https://www.speedrun.com/golf_grand_slam
199,Adventures of Lolo,any%,23,520,57.04,520,520,2.48,,940,710,100,https://www.speedrun.com/lolo1
200,Fisher-Price: I Can Remember,100%,26,520,56.94,520,520,2.19,,940,710,100,https://www.speedrun.com/fisher-price_i_can_remember
201,Ghosts 'n Goblins,any% 2 Loops,24,520,56.4,520,520,2.35,,940,710,100,https://www.speedrun.com/ghosts_n_goblins
202,Paperboy,Perfect Delivery,26,520,56.16,520,520,2.16,,940,710,100,https://www.speedrun.com/paperboy_nes
203,Mario Bros.,18 Phases,27,510,55.89,510,510,2.07,,920,700,100,https://www.speedrun.com/mario_bros_nes
204,Bomberman II,Beat the Game,22,510,55,510,510,2.5,,920,700,100,https://www.speedrun.com/bomberman_ii_nes
204,Q*bert,any%,22,510,55,510,510,2.5,,920,700,100,https://www.speedrun.com/qbert
206,Mighty Bomb Jack,any%,27,510,54.27,510,510,2.01,,920,700,100,https://www.speedrun.com/mighty_bomb_jack
207,"Adventures of Rocky and Bullwinkle and Friends, The",any%,28,510,54.04,510,510,1.93,,920,700,100,https://www.speedrun.com/rockyandbullwinklenes
208,Last Action Hero,any%,26,500,53.56,500,500,2.06,,900,700,100,https://www.speedrun.com/last_action_hero_nes
209,Codename: Viper,easy%,24,500,52.56,500,500,2.19,,900,700,100,https://www.speedrun.com/codename_viper
210,Adventure Island (Hudson's),any%,21,500,52.5,500,500,2.5,,900,700,100,https://www.speedrun.com/ai1
211,Baseball,any%,29,500,52.49,500,500,1.81,,900,700,100,https://www.speedrun.com/baseball
212,Ironsword: Wizards & Warriors II,any%,25,500,52.25,500,500,2.09,,900,700,100,https://www.speedrun.com/ironsword_wizards_and_warriors_ii
213,Sesame Street: 1-2-3,any%,22,490,52.14,490,490,2.37,,890,690,100,https://www.speedrun.com/sesame_street_123
214,Town & Country Surf Designs: Wood & Water Rage,Skateboarding (1 loop),36,490,51.84,490,490,1.44,,890,690,100,https://www.speedrun.com/town_and_country_surf_designs_wood_and_water_rage
215,"Blue Marlin, The",any%,26,490,51.74,490,490,1.99,,890,690,100,https://www.speedrun.com/the_blue_marlin
216,Alien 3,any% & All Prisoners,22,490,51.04,490,490,2.32,,890,690,100,https://www.speedrun.com/alien_3_nes
217,Dragon Spirit: The New Legend,Gold Dragon,22,490,50.6,490,490,2.3,,890,690,100,https://www.speedrun.com/dragon_spirit_the_new_legend
218,Widget,any%,24,480,50.16,480,480,2.09,,870,680,100,https://www.speedrun.com/widget
219,Gun-Nac,any% Novice No Ricochet,20,480,50,480,480,2.5,,870,680,100,https://www.speedrun.com/gunnac
223,Joust,50K,38,470,49.78,470,470,1.31,,850,680,100,https://www.speedrun.com/joust_nes?h=50K&x=z2779r42
224,Back to the Future,any%,21,470,49.77,470,470,2.37,,850,680,100,https://www.speedrun.com/backtothefuture
225,Power Blade 2,any%,20,470,49.4,470,470,2.47,,850,680,100,https://www.speedrun.com/power_blade_2
226,Terminator 2: Judgment Day,Beat The Game,22,470,48.4,470,470,2.2,,850,680,100,https://www.speedrun.com/terminator_2judgment_day
227,Championship Bowling,Leaderboard%,26,470,48.36,470,470,1.86,,850,680,100,https://www.speedrun.com/championship_bowling?h=Leaderboard_&x=xd1mmerd
228,Clu Clu Land,Low%,25,460,48.25,460,460,1.93,,830,670,100,https://www.speedrun.com/clu_clu_land
229,Adventure Island 3,any%,20,460,48.2,460,460,2.41,,830,670,100,https://www.speedrun.com/ai3
230,Gradius,any%,22,460,48.18,460,460,2.19,,830,670,100,https://www.speedrun.com/gradius
231,Baseball Stars,Single Game Victory - Full Game,29,460,48.14,460,460,1.66,,830,670,100,https://www.speedrun.com/baseball_stars?h=Single_Game_Victory_-_Full_Game&x=9d8jv0qk
232,Spelunker,any% First Loop,24,460,47.76,460,460,1.99,,830,670,100,https://www.speedrun.com/spelunkernes
233,Hogan's Alley,50000 Points Mode A,34,460,47.6,460,460,1.4,,830,670,100,https://www.speedrun.com/hogans_alley
234,Snake Rattle 'n' Roll,any%,24,450,47.28,450,450,1.97,,810,670,100,https://www.speedrun.com/snake_rattle_n_roll
235,Puss 'n Boots: Pero's Great Adventure,any%,23,450,47.15,450,450,2.05,,810,670,100,https://www.speedrun.com/puss_n_boots_peros_great_adventure
236,"Simpsons: Bart vs. the Space Mutants, The",any%,20,450,46.8,450,450,2.34,,810,670,100,https://www.speedrun.com/spacemutants
237,Ice Hockey,10 Goals,35,450,46.55,450,450,1.33,,810,670,100,https://www.speedrun.com/ice_hockey
238,Jeopardy! Junior Edition,Win (Solo),20,450,45.4,450,450,2.27,,810,670,100,https://www.speedrun.com/jeopardyjuniornes
239,Soccer,10 Goals,33,440,45.21,440,440,1.37,,800,660,100,https://www.speedrun.com/soccer
240,10-Yard Fight,Beat Super Level,21,440,45.15,440,440,2.15,,800,660,100,https://www.speedrun.com/10-yard_fight
241,"Bugs Bunny Birthday Blowout, The",any%,18,440,45,440,440,2.5,,800,660,100,https://www.speedrun.com/bbbb
242,Bandai Golf: Challenge Pebble Beach,18 Holes,30,440,44.4,440,440,1.48,,800,660,100,https://www.speedrun.com/bandai_golf_challenge_pebble_beach
243,Snoopy's Silly Sports Spectacular,any% (all awards),22,440,44,440,440,2,,800,660,100,https://www.speedrun.com/snoopys_silly_sports_spectacular
244,Home Alone,any%,18,430,43.92,430,430,2.44,,780,650,100,https://www.speedrun.com/home_alone_nes
245,Super Spike V'Ball,American Circuit Auto Set,19,430,43.89,430,430,2.31,,780,650,100,https://www.speedrun.com/ssvb
246,Color a Dinosaur,All Dinos,41,430,43.87,430,430,1.07,,780,650,100,https://www.speedrun.com/cad
247,Xevious,"20,000 points",34,430,43.86,430,430,1.29,,780,650,100,https://www.speedrun.com/xvs
248,Baseball Stars 2,Single Game Victory,32,430,43.84,430,430,1.37,,780,650,100,https://www.speedrun.com/baseball_stars_2
249,Barker Bill's Trick Shooting,any%,24,430,43.68,430,430,1.82,,780,650,100,https://www.speedrun.com/barker_bills_trick_shooting
250,Wrath of the Black Manta,any%,20,420,43.6,420,420,2.18,,760,650,100,https://www.speedrun.com/wrath_of_the_black_manta
251,"Adventures of Bayou Billy, The",any%,18,420,43.38,420,420,2.41,,760,650,100,https://www.speedrun.com/bayou
252,Wheel of Fortune,any%,51,420,43.35,420,420,0.85,,760,650,100,https://www.speedrun.com/wof
253,Jeopardy!,Win (Solo),19,420,43.13,420,420,2.27,,760,650,100,https://www.speedrun.com/jeopardy_nes
254,Road Fighter,Level 1,22,420,42.9,420,420,1.95,,760,650,100,https://www.speedrun.com/road_fighter
370,Dragon Warrior III,any% Glitchless/Single Segment,10,420,25,230,230,2.5,Y,420,530,100,https://www.speedrun.com/dw3
255,Lee Trevino's Fighting Golf,any% (all),25,410,42.75,410,410,1.71,,740,640,100,https://www.speedrun.com/lee_trevinos_fighting_golf
256,Mappy-Land,All Stages One Loop,17,410,41.99,410,410,2.47,,740,640,100,https://www.speedrun.com/mappy_land
257,Karate Champ,1 Loop,20,410,41.8,410,410,2.09,,740,640,100,https://www.speedrun.com/karate_champ
258,Jordan vs. Bird: One on One,1-on-1,33,410,41.58,410,410,1.26,,740,640,100,https://www.speedrun.com/jordan_vs_bird
259,Freedom Force,Single Loop,22,410,41.36,410,410,1.88,,740,640,100,https://www.speedrun.com/freedom_force
260,G.I. Joe: A Real American Hero,any%,17,410,41.31,410,410,2.43,,740,640,100,https://www.speedrun.com/gijoe_nes
261,MagMax,Single Loop,20,400,41,400,400,2.05,,720,640,100,https://www.speedrun.com/magmax
262,Alfred Chicken,any%,18,400,40.68,400,400,2.26,,720,640,100,https://www.speedrun.com/alfredchickennes
263,Adventure Island 2,any%,16,400,40,400,400,2.5,,720,640,100,https://www.speedrun.com/ai2
263,Rad Racer,Total points,16,400,40,400,400,2.5,,720,640,100,https://www.speedrun.com/rad_racer
263,Ski or Die,All events,20,400,40,400,400,2,,720,640,100,https://www.speedrun.com/ski_or_die
268,WWF King of the Ring,King of the Ring%,22,390,39.82,390,390,1.81,,710,630,100,https://www.speedrun.com/wwf_king_of_the_ring
269,Wayne's World,any%,20,390,39.8,390,390,1.99,,710,630,100,https://www.speedrun.com/waynes_world
270,"Lion King, The",any%,20,390,39.4,390,390,1.97,,710,630,100,https://www.speedrun.com/the_lion_king_nes
271,Milon's Secret Castle,any%,19,390,39.33,390,390,2.07,,710,630,100,https://www.speedrun.com/milons_secret_castle
272,Sesame Street: A-B-C,100%,20,380,39.2,380,380,1.96,,690,620,100,https://www.speedrun.com/sesame_street_abc
